title,count,score
妖精森林的小不点,11786,9.9
国家宝藏,7919,9.9
Megalo Box,3423,9.9
ReLIFE 完结篇,3051,9.9
创新中国,1276,9.9
如果国宝会说话,972,9.9
三十二,511,9.9
极地,476,9.9
生命时速·紧急救护120,435,9.9
RWBY Chibi 第三季,397,9.9
小马宝莉 第五季,248,9.9
小马宝莉 第二季,160,9.9
我在故宫修文物,155,9.9
河西走廊,140,9.9
霹雳惊鸿之刀剑春秋,134,9.9
地球脉动,133,9.9
TopGear 第22季,124,9.9
小马宝莉 第三季,113,9.9
少女终末旅行,39239,9.8
宝石之国,37440,9.8
魔卡少女樱 CLEAR CARD篇,32711,9.8
幻界战线 & BEYOND,21031,9.8
卫宫家今天的饭,18495,9.8
比宇宙更远的地方,17099,9.8
此花亭奇谭,14910,9.8
命运石之门,13752,9.8
钢之炼金术师 FULLMETAL ALCHEMIST,13622,9.8
中国唱诗班,13564,9.8
戒律的复活,9483,9.8
3月的狮子 第二季,9057,9.8
齐木楠雄的灾难 第二季,9023,9.8
CLANNAD ～AFTER STORY～,8989,9.8
罗小黑战记,8163,9.8
日常,7170,9.8
魔卡少女樱,6468,9.8
凸变英雄 BABA,4556,9.8
斩服少女,4468,9.8
怪化猫,2748,9.8
虫师,1558,9.8
哆啦A梦,982,9.8
信·中国,807,9.8
Little Busters! ～Refrain～,558,9.8
鬼灯的冷彻 第二季 其二,457,9.8
小马宝莉 第一季,395,9.8
萌猫向前冲,237,9.8
鼹鼠的故事,229,9.8
剧场版 笑傲昙天（外传）,216,9.8
寻找手艺,215,9.8
海岸线不污正业sp,201,9.8
香巴拉深处,179,9.8
霍金：来自无限的过往，去到无限的未来,179,9.8
南方公园 第十九季,173,9.8
寻味顺德,162,9.8
南方公园 第十八季,154,9.8
小马宝莉 第四季,145,9.8
降世神通：最后的气宗 第一季,141,9.8
三日为期,136,9.8
我的朋友不是人,114,9.8
南方公园 第三季,106,9.8
紫罗兰永恒花园,89521,9.7
OVERLORDⅡ,44500,9.7
博多豚骨拉面团,17785,9.7
NO GAME NO LIFE 游戏人生,14275,9.7
妄想学生会 剧场版,9998,9.7
鬼灯的冷彻 第二季,9871,9.7
我的英雄学院,8752,9.7
小木乃伊到我家,8364,9.7
冰菓,8201,9.7
月色真美,7088,9.7
月刊少女野崎君,7060,9.7
CLANNAD,6894,9.7
天行九歌,6878,9.7
来自风平浪静的明天,5792,9.7
魔法少女小圆,5763,9.7
龙与虎,5673,9.7
EVA 新世纪福音战士,5668,9.7
齐木楠雄的灾难,4695,9.7
春宵苦短，少女前进吧,4449,9.7
三颗星彩色冒险,4340,9.7
男子高中生的日常,4172,9.7
灵契 第二季,3370,9.7
终物语 下,3229,9.7
GOSICK,3037,9.7
黑执事,3005,9.7
风灵玉秀,2697,9.7
RWBY 第五季,2491,9.7
狼与香辛料,2433,9.7
3月的狮子,2423,9.7
女神异闻录5 动画版,2412,9.7
魔法少女 俺,2124,9.7
DARKER THAN BLACK -黑之契约者-,2011,9.7
狼与香辛料 第二季,1889,9.7
勇者大冒险 第二季,1769,9.7
